name: 🇨🇿 Czechia-8006 | avg_speed: 32.701 MB/s | delay: 17 ms
name: 🇺🇸 USA-1782 | avg_speed: 27.237 MB/s | delay: 99 ms
name: 🏁 Relay-4685 | avg_speed: 26.210 MB/s | delay: 44 ms
name: 🇩🇪 Germany-2895 | avg_speed: 25.253 MB/s | delay: 108 ms
name: 🏁 Relay-2676 | avg_speed: 23.274 MB/s | delay: 47 ms
name: 🇩🇪 Germany-1553 | avg_speed: 22.860 MB/s | delay: 162 ms
name: 🇩🇪 Germany-3529 | avg_speed: 21.265 MB/s | delay: 27 ms
name: 🏁 Relay-1992 | avg_speed: 21.544 MB/s | delay: 97 ms
name: 🇺🇸 USA-1417 | avg_speed: 21.094 MB/s | delay: 100 ms
name: 🇩🇪 Germany-7602 | avg_speed: 20.328 MB/s | delay: 40 ms
name: 🇩🇪 Germany-7559 | avg_speed: 20.172 MB/s | delay: 32 ms
name: 🇺🇸 USA-7015 | avg_speed: 20.216 MB/s | delay: 100 ms
name: 🏁 Relay-9384 | avg_speed: 19.275 MB/s | delay: 49 ms
name: 🏁 Relay-9893 | avg_speed: 19.390 MB/s | delay: 80 ms
name: 🇺🇸 USA-7442 | avg_speed: 19.334 MB/s | delay: 101 ms
name: 🇩🇪 Germany-1218 | avg_speed: 19.014 MB/s | delay: 55 ms
name: 🇩🇪 Germany-2700 | avg_speed: 18.905 MB/s | delay: 30 ms
name: 🇺🇸 USA-5358 | avg_speed: 18.958 MB/s | delay: 101 ms
name: 🇺🇸 USA-4441 | avg_speed: 18.903 MB/s | delay: 101 ms
name: 🇩🇪 Germany-9011 | avg_speed: 17.990 MB/s | delay: 30 ms
name: 🇩🇪 Germany-8503 | avg_speed: 18.192 MB/s | delay: 100 ms
name: 🇺🇸 USA-7692 | avg_speed: 18.159 MB/s | delay: 101 ms
name: 🇺🇸 USA-5947 | avg_speed: 18.115 MB/s | delay: 101 ms
name: 🇩🇪 Germany-4337 | avg_speed: 17.767 MB/s | delay: 25 ms
name: 🇺🇸 USA-5330 | avg_speed: 17.471 MB/s | delay: 113 ms
name: 🇺🇸 USA-5169 | avg_speed: 17.505 MB/s | delay: 236 ms
name: 🏁 Relay-6798 | avg_speed: 16.044 MB/s | delay: 53 ms
name: 🇺🇸 USA-2300 | avg_speed: 16.032 MB/s | delay: 100 ms
name: 🇩🇪 Germany-2565 | avg_speed: 15.807 MB/s | delay: 59 ms
name: 🇺🇸 USA-2457 | avg_speed: 15.795 MB/s | delay: 101 ms
name: 🇺🇸 USA-8130 | avg_speed: 15.403 MB/s | delay: 105 ms
name: 🇩🇪 Germany-4260 | avg_speed: 14.889 MB/s | delay: 55 ms
name: 🏁 Relay-1949 | avg_speed: 15.699 MB/s | delay: 505 ms
name: 🏁 Relay-2859 | avg_speed: 13.815 MB/s | delay: 66 ms
name: 🏁 Relay-1160 | avg_speed: 13.633 MB/s | delay: 24 ms
name: 🇩🇪 Germany-3880 | avg_speed: 13.854 MB/s | delay: 103 ms
name: 🏁 Relay-2412 | avg_speed: 13.448 MB/s | delay: 43 ms
name: 🇩🇪 Germany-3780 | avg_speed: 13.719 MB/s | delay: 156 ms
name: 🇩🇪 Germany-4515 | avg_speed: 12.362 MB/s | delay: 55 ms
name: 🇨🇦 Canada-5241 | avg_speed: 12.532 MB/s | delay: 108 ms
name: 🏁 Relay-7253 | avg_speed: 12.295 MB/s | delay: 108 ms
name: 🏁 Relay-5881 | avg_speed: 11.921 MB/s | delay: 41 ms
name: 🇨🇦 Canada-5466 | avg_speed: 12.123 MB/s | delay: 104 ms
name: 🏁 Relay-9955 | avg_speed: 12.158 MB/s | delay: 120 ms
name: 🇺🇸 USA-9297 | avg_speed: 12.084 MB/s | delay: 112 ms
name: 🇺🇸 USA-1565 | avg_speed: 12.094 MB/s | delay: 115 ms
name: 🏁 Relay-2918 | avg_speed: 11.752 MB/s | delay: 42 ms
name: 🇺🇸 USA-1061 | avg_speed: 11.930 MB/s | delay: 104 ms
name: 🇺🇸 USA-8700 | avg_speed: 11.929 MB/s | delay: 104 ms
name: 🇨🇦 Canada-1783 | avg_speed: 11.909 MB/s | delay: 111 ms
name: 🏁 Relay-5213 | avg_speed: 11.999 MB/s | delay: 153 ms
name: 🏁 Relay-7353 | avg_speed: 11.897 MB/s | delay: 131 ms
name: 🇺🇸 USA-2813 | avg_speed: 11.748 MB/s | delay: 104 ms
name: 🇩🇪 Germany-7974 | avg_speed: 11.527 MB/s | delay: 54 ms
name: 🏁 Relay-4541 | avg_speed: 11.422 MB/s | delay: 38 ms
name: 🏁 Relay-1887 | avg_speed: 11.574 MB/s | delay: 79 ms
name: 🏁 Relay-9046 | avg_speed: 12.511 MB/s | delay: 330 ms
name: 🇺🇸 USA-8913 | avg_speed: 11.564 MB/s | delay: 103 ms
name: 🏁 Relay-3648 | avg_speed: 11.338 MB/s | delay: 85 ms
name: 🇨🇦 Canada-5527 | avg_speed: 11.379 MB/s | delay: 114 ms
name: 🇺🇸 USA-6880 | avg_speed: 11.401 MB/s | delay: 124 ms
name: 🇨🇦 Canada-4170 | avg_speed: 11.369 MB/s | delay: 117 ms
name: 🏁 Relay-7156 | avg_speed: 11.263 MB/s | delay: 113 ms
name: 🇪🇸 Spain-6433 | avg_speed: 11.218 MB/s | delay: 106 ms
name: 🇺🇸 USA-8574 | avg_speed: 11.159 MB/s | delay: 104 ms
name: 🇺🇸 USA-5852 | avg_speed: 11.139 MB/s | delay: 104 ms
name: 🇩🇪 Germany-2558 | avg_speed: 10.932 MB/s | delay: 55 ms
name: 🇺🇸 USA-2247 | avg_speed: 11.045 MB/s | delay: 110 ms
name: 🇺🇸 USA-2826 | avg_speed: 10.940 MB/s | delay: 106 ms
name: 🏁 Relay-6643 | avg_speed: 10.772 MB/s | delay: 111 ms
name: 🇩🇪 Germany-9451 | avg_speed: 10.482 MB/s | delay: 61 ms
name: 🇺🇸 USA-2233 | avg_speed: 10.615 MB/s | delay: 108 ms
name: 🏁 Relay-3374 | avg_speed: 10.302 MB/s | delay: 38 ms
name: 🏁 Relay-1124 | avg_speed: 10.471 MB/s | delay: 93 ms
name: 🇺🇸 USA-3002 | avg_speed: 10.505 MB/s | delay: 110 ms
name: 🇺🇸 USA-4996 | avg_speed: 10.319 MB/s | delay: 112 ms
name: 🇩🇪 Germany-3420 | avg_speed: 10.032 MB/s | delay: 70 ms
name: 🏁 Relay-8622 | avg_speed: 9.845 MB/s | delay: 35 ms
name: 🇩🇪 Germany-1382 | avg_speed: 9.952 MB/s | delay: 66 ms
name: 🏁 Relay-9551 | avg_speed: 9.707 MB/s | delay: 42 ms
name: 🇺🇸 USA-7554 | avg_speed: 9.956 MB/s | delay: 103 ms
name: 🇺🇸 USA-6772 | avg_speed: 10.015 MB/s | delay: 124 ms
name: 🇩🇪 Germany-4559 | avg_speed: 9.789 MB/s | delay: 73 ms
name: 🇨🇦 Canada-1204 | avg_speed: 9.929 MB/s | delay: 108 ms
name: 🇺🇸 USA-3908 | avg_speed: 9.895 MB/s | delay: 102 ms
name: 🏁 Relay-2939 | avg_speed: 9.648 MB/s | delay: 54 ms
name: 🇨🇦 Canada-6811 | avg_speed: 9.864 MB/s | delay: 114 ms
name: 🏁 Relay-2208 | avg_speed: 9.537 MB/s | delay: 52 ms
name: 🏁 Relay-7761 | avg_speed: 10.297 MB/s | delay: 241 ms
name: 🏁 Relay-5226 | avg_speed: 9.401 MB/s | delay: 33 ms
name: 🏁 Relay-7930 | avg_speed: 9.531 MB/s | delay: 70 ms
name: 🇺🇸 USA-9864 | avg_speed: 9.509 MB/s | delay: 102 ms
name: 🏁 Relay-7499 | avg_speed: 9.407 MB/s | delay: 92 ms
name: 🏁 Relay-6245 | avg_speed: 9.251 MB/s | delay: 60 ms
name: 🏁 Relay-7066 | avg_speed: 9.342 MB/s | delay: 94 ms
name: 🇩🇪 Germany-9697 | avg_speed: 9.597 MB/s | delay: 164 ms
name: 🏁 Relay-1702 | avg_speed: 9.183 MB/s | delay: 86 ms
name: 🇩🇪 Germany-8375 | avg_speed: 9.677 MB/s | delay: 214 ms
name: 🏁 Relay-4085 | avg_speed: 10.021 MB/s | delay: 340 ms
name: 🏁 Relay-3312 | avg_speed: 9.120 MB/s | delay: 137 ms
name: 🏁 Relay-7236 | avg_speed: 8.974 MB/s | delay: 119 ms
name: 🏁 Relay-3684 | avg_speed: 8.762 MB/s | delay: 69 ms
name: 🏁 Relay-8321 | avg_speed: 9.035 MB/s | delay: 156 ms
name: 🇺🇸 USA-8120 | avg_speed: 8.796 MB/s | delay: 108 ms
name: 🏁 Relay-3549 | avg_speed: 8.346 MB/s | delay: 49 ms
name: 🏁 Relay-6830 | avg_speed: 8.360 MB/s | delay: 54 ms
name: 🏁 Relay-3368 | avg_speed: 8.612 MB/s | delay: 119 ms
name: 🏁 Relay-2248 | avg_speed: 8.845 MB/s | delay: 185 ms
name: 🇩🇪 Germany-3733 | avg_speed: 8.466 MB/s | delay: 119 ms
name: 🏁 Relay-5142 | avg_speed: 8.439 MB/s | delay: 114 ms
name: 🏁 Relay-8226 | avg_speed: 8.862 MB/s | delay: 232 ms
name: 🇺🇸 USA-4437 | avg_speed: 8.339 MB/s | delay: 110 ms
name: 🇩🇪 Germany-5319 | avg_speed: 8.202 MB/s | delay: 81 ms
name: 🏁 Relay-7279 | avg_speed: 8.339 MB/s | delay: 118 ms
name: 🇩🇪 Germany-9506 | avg_speed: 8.174 MB/s | delay: 87 ms
name: 🏁 Relay-9118 | avg_speed: 8.127 MB/s | delay: 78 ms
name: 🇩🇪 Germany-5768 | avg_speed: 8.135 MB/s | delay: 87 ms
